hhidpn,hhid,pn,ra019,rj005m1,rj005m2,rj005m3,rj005m4,rj005m5,rj020,rp047,rp113,rp150,rp180,rx060_r,rz216,rv550,rv551,rv552,rv553,rv554,rv555,rv556,rv557,rv558,rv559,rv560,rv561,rv562,rv563,rv564,rq021,rq134,rq148,rq316,rq317,rq331,rq345,rq357
12135020,012135,020,87,5,,,,,5,50,2,,,2,17,,,,,,,,,,,,,,,,,,,5,,,100000,
12135030,012135,030,94,5,,,,,5,50,2,,,1,16,,,,,,,,,,,,,,,,,,,5,,,100000,
12161010,012161,010,83,5,,,,,5,998,,,,2,14,,,,,,,,,,,,,,,,,,,5,,,9999998,
12162010,012162,010,87,5,,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,1,999999998,,7000,
12172010,012172,010,79,5,,,,,5,80,,50,20,2,11,,,,,,,,,,,,,,,,,,,5,,,,
12196010,012196,010,80,5,6,,,,5,999,,,,2,10,,,,,,,,,,,,,,,,,,,5,,,9999999,
12196020,012196,020,84,1,,,,,1,2,,2,25,1,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
12218010,012218,010,84,5,,,,,5,998,,,,1,12,50,50,50,50,50,50,1,8,7,5,7,5,5,7,7,,,,5,,,,
12218020,012218,020,79,5,6,,,,5,20,,10,30,2,12,,,,,,,,,,,,,,,,,,,5,,,,
12232010,012232,010,85,4,5,,,,5,999,,,,1,12,,,,,,,,,,,,,,,,,,,1,0,,3000,
12232040,012232,040,76,5,,,,,5,0,,,0,2,12,,,,,,,,,,,,,,,,,,,1,0,,3000,
12235010,012235,010,82,5,,,,,5,30,,10,10,1,12,,,,,,,,,,,,,,,,,,,-8,,,-8,
12235040,012235,040,77,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,-8,,,-8,
12242010,012242,010,87,5,,,,,5,7,,7,3,1,13,,,,,,,,,,,,,,,,,,99999998,5,,,43000,
12242020,012242,020,86,5,6,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,99999998,5,,,43000,
12243020,012243,020,81,5,,,,,5,,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,50000,
12243030,012243,030,77,5,,,,,5,50,2,,,2,12,25,25,0,0,0,50,1,10,5,5,5,10,10,10,0,,,,5,,,50000,
12257040,012257,040,78,5,,,,,5,30,,998,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
12274010,012274,010,86,5,,,,,5,23,,998,,1,17,,,,,,,,,,,,,,,,,,,5,,,3000,
12274020,012274,020,85,5,,,,,5,998,,,,2,16,75,0,0,998,0,998,1,7,8,10,10,8,98,9,98,,,,5,,,3000,
12276030,012276,030,90,5,,,,,5,0,,,0,1,12,,,,,,,,,,,,,,,,,600000,,5,,,9999999,
12280020,012280,020,78,5,,,,,5,25,,25,20,2,17,,,,,,,,,,,,,,,,,,,5,,,80000,
12280030,012280,030,90,5,,,,,5,20,,10,30,1,17,,,,,,,,,,,,,,,,,,,5,,,80000,
12285010,012285,010,81,7,,,,,5,50,1,50,40,2,17,,,,,,,,,,,,,,,,,,,5,,,40000,
12292010,012292,010,81,5,,,,,5,50,2,,,2,14,25,75,75,100,75,50,1,5,5,8,8,4,5,5,3,,,,5,,10000,30000,
12292020,012292,020,80,5,4,,,,5,,,,,1,13,,,,,,,,,,,,,,,,,,,5,,10000,30000,
12318010,012318,010,88,5,,,,,5,40,,50,40,2,9,,,,,,,,,,,,,,,,,,,5,,,5000,
12319010,012319,010,78,5,,,,,5,998,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,6000,
12344010,012344,010,82,5,,,,,5,,,,,1,16,,,,,,,,,,,,,,,,,,,1,999999998,,9999999,
12344020,012344,020,80,6,,,,,5,60,,50,50,2,16,,,,,,,,,,,,,,,,,,,1,999999998,,9999999,
12393020,012393,020,88,5,,,,,5,,,,,2,14,,,,,,,,,,,,,,,,,,,1,999999998,,9999998,
12443040,012443,040,74,5,,,,,5,40,,60,5,2,14,,,,,,,,,,,,,,,,,,,5,,,3000,
12445010,012445,010,83,5,,,,,5,10,,998,,2,13,,,,,,,,,,,,,,,,,,,5,,,9999998,1500
12458020,012458,020,82,5,,,,,5,50,1,50,50,2,14,,,,,,,,,,,,,,,,,,,5,,,2500,
12474040,012474,040,73,5,,,,,5,30,,10,10,2,12,,,,,,,,,,,,,,,,,500000,,5,,,16000,
12481010,012481,010,81,2,,,,,5,10,,30,30,2,14,,,,,,,,,,,,,,,,,,,5,,,,
12494040,012494,040,66,5,,,,,5,80,,70,10,2,13,,,,,,,,,,,,,,,,,,,5,,,11000,
12507010,012507,010,78,5,,,,,5,20,,50,30,2,17,,,,,,,,,,,,,,,,,,,5,,,20000,
